SKU;Categoria de Producto;Subcategoria de Producto;Producto;Contenedor
1;Árticulos de Oficina;Almacenamiento;Eldon Base for stackable storage shelf, platinum;Caja Grande
2;Árticulos de Oficina;Linea Blanca;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Barril Jumbo
3;Árticulos de Oficina;Organizadores;Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl;Caja Chica
4;Tecnología;Teléfonos;R380;Caja Chica
5;Árticulos de Oficina;Linea Blanca;Holmes HEPA Air Purifier;Medio Box
6;Muebles;Decoración de Oficina;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Paquete Chico
7;Árticulos de Oficina;Organizadores;Angle-D Binders with Locking Rings, Label Holders;Caja Chica
8;Árticulos de Oficina;Almacenamiento;SAFCO Mobile Desk Side File, Wire Frame;Caja Chica
9;Árticulos de Oficina;Almacenamiento;SAFCO Commercial Wire Shelving, Black;Caja Grande
10;Árticulos de Oficina;Papel;Xerox 198;Caja Chica
11;Árticulos de Oficina;Papel;Xerox 1980;Caja Chica
12;Árticulos de Oficina;Ligas;Advantus Map Pennant Flags and Round Head Tacks;Bolsa
13;Tecnología;Accesorios de Computadora;DS/HD IBM Formatted Diskettes, 200/Pack - Staples;Paquete Chico
14;Árticulos de Oficina;Organizadores;"Wilson Jones 1"" Hanging DublLock® Ring Binders";Caja Chica
15;Muebles;Decoración de Oficina;Ultra Commercial Grade Dual Valve Door Closer;Bolsa
16;Árticulos de Oficina;Sobres;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Sobres";Caja Chica
17;Muebles;Libreros;Hon 4-Shelf Metal Libreros;Caja Jumbo
18;Muebles;Mesas;Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table;Caja Grande
19;Tecnología;Teléfonos;g520;Caja Chica
20;Tecnología;Teléfonos;LX 788;Caja Chica
21;Árticulos de Oficina;Etiquetas;Avery 52;Caja Chica
22;Árticulos de Oficina;Ligas;Plymouth Boxed Ligas by Plymouth;Bolsa
23;Árticulos de Oficina;Organizadores;"GBC Pre-Punched Binding Papel, Plastic, White, 8-1/2"" x 11""";Caja Chica
24;Tecnología;Accesorios de Computadora;"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack";Paquete Chico
25;Árticulos de Oficina;Plumas y Arte;Newell 335;Bolsa
26;Árticulos de Oficina;Plumas y Arte;SANFORD Liquid Accent™ Tank-Style Altolighters;Bolsa
27;Tecnología;Copiadoras y Faxes;Canon PC940 Copier;Barril Jumbo
28;Árticulos de Oficina;Almacenamiento;Tenex Personal Project File with Scoop Front Design, Black;Caja Chica
29;Árticulos de Oficina;Plumas y Arte;Col-Erase® Pencils with Erasers;Bolsa
30;Tecnología;Accesorios de Computadora;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack";Paquete Chico
31;Árticulos de Oficina;Papel;White Dual Perf Computer Printout Papel, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11;Caja Chica
32;Árticulos de Oficina;Etiquetas;Self-Adhesive Address Etiquetas for Typewriters by Universal;Caja Chica
33;Tecnología;Teléfonos;Accessory37;Bolsa
34;Tecnología;Accesorios de Computadora;Fuji 5.2GB DVD-RAM;Paquete Chico
35;Muebles;Sillas;Bevis Steel Folding Chairs;Barril Jumbo
36;Árticulos de Oficina;Organizadores;Avery Binder Etiquetas;Caja Chica
37;Muebles;Sillas;Hon Every-Day® Chair Series Swivel Task Chairs;Barril Jumbo
38;Árticulos de Oficina;Papel;"IBM Multi-Purpose Copy Papel, 8 1/2 x 11"", Case";Caja Chica
39;Muebles;Sillas;Global Troy™ Executive Leather Bajo-Back Tilter;Barril Jumbo
40;Árticulos de Oficina;Organizadores;XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal;Caja Chica
41;Árticulos de Oficina;Papel;Computer Printout Papel with Letter-Trim Perforations;Caja Chica
42;Tecnología;Teléfonos;6160;Caja Chica
43;Árticulos de Oficina;Etiquetas;Avery 49;Caja Chica
44;Árticulos de Oficina;Linea Blanca;Hoover Portapower™ Portable Vacuum;Caja Grande
45;Tecnología;Teléfonos;Timeport L7089;Caja Chica
46;Árticulos de Oficina;Etiquetas;Avery 510;Caja Chica
47;Árticulos de Oficina;Papel;Xerox 1881;Caja Chica
48;Tecnología;Accesorios de Computadora;Memorex 4.7GB DVD-RAM, 3/Pack;Paquete Chico
49;Árticulos de Oficina;Papel;Unpadded Memo Slips;Bolsa
